Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,TSLA,TSLA,TSLA,TSLA,TSLA,INFY,INFY,INFY,INFY,INFY,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2023-05-30,175.5424041748047,177.21565339375218,174.81964499350826,175.20577826653255,55964400.0,AAPL,,,,,,,,,,,,,,,
2023-05-31,175.49293518066406,177.5721240946458,175.00778707206032,175.57214396008078,99625300.0,AAPL,,,,,,,,,,,,,,,
2023-06-01,178.30474853515625,178.33444993394386,175.17607026429087,175.93844141740337,68901800.0,AAPL,,,,,,,,,,,,,,,
2023-06-02,179.15623474121094,179.97800874169684,177.48298533965166,179.2354435119536,61945900.0,AAPL,,,,,,,,,,,,,,,
2023-06-05,177.79983520507812,183.11659785767154,176.27509267968756,180.81960374527281,121946500.0,AAPL,,,,,,,,,,,,,,,
2023-06-06,177.43348693847656,178.33445457100666,175.6711182885981,178.18594757320713,64848400.0,AAPL,,,,,,,,,,,,,,,
2023-06-07,176.05728149414062,179.41367589423808,175.56223798316736,176.67113061333816,61944600.0,AAPL,,,,,,,,,,,,,,,
2023-06-08,178.78001403808594,179.04732664647344,175.70084291207064,176.1364684949153,50214900.0,AAPL,,,,,,,,,,,,,,,
2023-06-09,179.1661376953125,180.42353722036253,178.8394071951532,179.70077799078283,48870700.0,AAPL,,,,,,,,,,,,,,,
2023-06-12,181.9680633544922,182.0670780867689,179.17602617310777,179.4730552624109,54274900.0,AAPL,,,,,,,,,,,,,,,
2023-06-13,181.49282836914062,182.32449774459167,180.63145759510397,180.98788948565831,54929100.0,AAPL,,,,,,,,,,,,,,,
2023-06-14,182.1265106201172,182.5621513412214,180.21564985689943,181.55225831570974,57462900.0,AAPL,,,,,,,,,,,,,,,
2023-06-15,184.16607666015625,184.67103069686027,181.95818688950908,182.13641040467775,65433200.0,AAPL,,,,,,,,,,,,,,,
2023-06-16,183.08688354492188,185.1363708565112,182.4433330473612,184.87893857146415,101235600.0,AAPL,,,,,,,,,,,,,,,
2023-06-20,183.1759796142578,184.2551858622496,182.58193651385486,182.58193651385486,49799100.0,AAPL,,,,,,,,,,,,,,,
2023-06-21,182.1363983154297,183.5720213426237,180.77996894802234,183.06706733943585,49515700.0,AAPL,,,,,,,,,,,,,,,
2023-06-22,185.14625549316406,185.1957628610581,181.84926421078353,181.91857754734076,51245300.0,AAPL,,,,,,,,,,,,,,,
2023-06-23,184.8294219970703,185.70070333532985,183.17597862652977,183.71063403229002,53079300.0,AAPL,,,,,,,,,,,,,,,
2023-06-26,183.43341064453125,186.18585111473345,183.39379870692287,184.97794384564872,48088700.0,AAPL,,,,,,,,,,,,,,,
2023-06-27,186.19577026367188,186.5225008066865,183.8294627923201,184.04728315432985,50730800.0,AAPL,,,,,,,,,,,,,,,
2023-06-28,187.3739471435547,188.0174975900725,185.7403097900696,186.0670251747448,51216800.0,AAPL,,,,,,,,,,,,,,,
2023-06-29,187.7105712890625,188.1858238773272,187.06702084863718,187.20563240999925,46347300.0,AAPL,,,,,,,,,,,,,,,
2023-06-30,192.0471649169922,192.55210381756805,189.36402266288647,189.73036510372253,85069600.0,AAPL,,,,,,,,,,,,,,,
2023-07-03,190.55215454101562,191.95807629669292,189.8590815409033,191.85906155166862,31458200.0,AAPL,,,,,,,,,,,,,,,
2023-07-05,189.433349609375,191.06698713435688,188.7303811843197,189.6709759307026,46920300.0,AAPL,,,,,,,,,,,,,,,
2023-07-06,189.9085693359375,190.11649423604223,187.32444187549908,187.95809689875657,45094300.0,AAPL,,,,,,,,,,,,,,,
2023-07-07,188.78977966308594,190.7600582083635,188.35415407859097,189.51255404191053,46778000.0,AAPL,,,,,,,,,,,,,,,
